CustomerID,Name,Gender,Age,Annual Income ($),Profession,Cases,Sessions,Category,Satisfaction,Date,Resolution Time,Resolved
122,,Female,24,50000,Executive,3,3,Divorce,4,2015-01-30,36,Yes
123,,Female,24,97000,Engineer,4,1,Divorce,4,2015-02-04,8,Yes
124,,Male,35,6000,Healthcare,3,4,Custody,3,2015-02-05,50,Yes
125,,Female,46,12000,Entertainment,0,0,Adoption,3,2015-02-08,54,Yes
1677,,Female,30,18000,Artist,4,5,Divorce,4,2014-04-14,15,Yes
127,,Male,52,89000,Engineer,4,5,Custody,3,2015-02-11,37,Yes
311,,Female,29,78821,,2,2,Divorce,4,2018-05-07,15,Yes
129,,Male,38,38000,Engineer,4,5,Willmaking,5,2015-02-17,6,Yes
130,,Male,43,64000,Entertainment,1,3,Willmaking,3,2015-03-01,8,Yes
131,,Male,58,66000,Executive,2,1,Willmaking,5,2015-03-06,19,Yes
132,,Male,33,26000,Lawyer,2,5,Adoption,5,2015-03-06,36,Yes
133,,Female,28,41000,Healthcare,4,3,Divorce,4,2015-03-11,34,Yes
134,,Female,33,45000,Artist,3,1,Adoption,5,2015-03-11,48,Yes
135,,Male,64,89000,Engineer,3,5,Willmaking,4,2015-03-24,15,Yes
841,,Male,48,90082,Healthcare,1,2,Divorce,5,2021-10-01,47,Yes
137,,Female,32,76000,Artist,0,3,Adoption,5,2015-04-01,18,Yes
138,,Male,46,22000,Marketing,4,2,Willmaking,3,2015-04-08,9,Yes
139,,Male,42,85000,Artist,1,2,Divorce,5,2015-04-08,35,Yes
140,,Female,36,15000,Artist,1,2,Willmaking,5,2015-04-19,14,Yes
141,,Female,64,32000,Engineer,0,2,Divorce,4,2015-04-20,39,Yes
142,,Male,44,66000,Artist,4,5,Willmaking,4,2015-04-20,8,Yes
143,,Female,41,62000,Doctor,3,0,Willmaking,5,2015-04-21,14,Yes
144,,Female,49,85000,Lawyer,4,6,Custody,3,2015-04-22,17,Yes
56,,Male,41,141383,,1,5,Divorce,5,2018-07-07,7,Yes
146,,Male,33,26000,Marketing,2,0,Divorce,4,2015-04-26,18,Yes
147,,Male,59,52000,Engineer,0,0,Divorce,5,2015-05-01,48,Yes
148,,Female,49,38000,Lawyer,0,5,Adoption,4,2015-05-08,27,Yes
149,,Female,44,51000,Healthcare,2,0,Custody,4,2015-05-18,49,Yes
150,,Male,25,90000,Artist,3,2,Divorce,5,2015-05-19,21,Yes
151,,Male,48,30000,Lawyer,0,4,Custody,3,2015-05-21,41,Yes
152,,Male,55,41000,Engineer,1,4,Divorce,5,2015-05-30,16,Yes
153,,Female,36,17000,Engineer,0,1,Custody,5,2015-06-11,28,Yes
154,,Female,75,92000,Artist,0,3,Willmaking,5,2015-06-19,7,Yes
155,,Female,39,80000,Healthcare,3,6,Willmaking,4,2015-06-22,8,Yes
156,,Male,58,16000,Executive,2,5,Willmaking,4,2015-06-28,7,Yes
157,,Female,24,10000,Marketing,4,2,Custody,3,2015-06-28,22,Yes
158,,Female,30,87000,Artist,4,4,Custody,3,2015-06-29,44,Yes
159,,Male,60,66000,Lawyer,3,6,Divorce,4,2015-07-14,44,Yes
160,,Female,57,86000,Artist,1,2,Willmaking,4,2015-07-15,20,Yes
161,,Female,28,9000,Artist,3,1,Custody,4,2015-07-18,17,Yes
162,,Female,31,50000,Healthcare,4,1,Adoption,5,2015-07-18,33,Yes
1454,,Female,31,69000,Executive,0,2,Divorce,5,2016-09-04,47,Yes
164,,Female,38,58000,Healthcare,3,1,Willmaking,5,2015-07-24,9,Yes
165,,Male,64,47000,Doctor,3,3,Divorce,4,2015-07-27,29,Yes
166,,Female,48,54000,Artist,1,2,Custody,3,2015-07-30,18,Yes
167,,Male,33,79000,Homemaker,4,2,Divorce,5,2015-07-31,16,Yes
168,,Female,37,83000,Artist,4,6,Custody,4,2015-08-02,21,Yes
169,,Female,58,57000,Artist,4,5,Divorce,5,2015-08-05,9,Yes
170,,Male,42,0,Artist,1,5,Custody,5,2015-08-07,43,Yes
171,,Male,28,4000,Executive,2,1,Divorce,4,2015-08-11,6,Yes
172,,Male,47,69000,Artist,3,6,Custody,5,2015-08-11,29,Yes
173,,Male,54,79000,Lawyer,2,4,Willmaking,3,2015-08-13,17,Yes
174,,Male,68,99000,Artist,2,3,Willmaking,4,2015-08-19,12,Yes
175,,Female,54,20000,Lawyer,3,1,Adoption,5,2015-08-26,17,Yes
176,,Female,48,28000,Artist,1,2,Custody,4,2015-08-27,35,Yes
177,,Male,73,29000,Engineer,2,5,Willmaking,4,2015-08-27,20,Yes
178,,Male,33,45000,Healthcare,0,4,Divorce,4,2015-08-29,17,Yes
179,,Male,44,86000,Healthcare,2,5,Willmaking,3,2015-08-30,18,Yes
180,,Male,46,42000,Engineer,3,1,Divorce,4,2015-09-02,18,Yes
181,,Female,47,59000,Artist,1,4,Willmaking,3,2015-09-04,10,Yes
1604,,Female,53,151836,Artist,1,5,Divorce,4,2022-01-31,51,Yes
183,,Male,69,11000,Artist,0,1,Willmaking,4,2015-09-09,19,Yes
184,,Female,46,66000,Artist,3,4,Custody,3,2015-09-11,54,Yes
185,,Female,58,39000,Artist,4,3,Divorce,4,2015-09-13,7,Yes
186,,Male,57,72000,Artist,3,2,Adoption,3,2015-09-17,18,Yes
187,,Female,31,14000,Lawyer,2,2,Divorce,4,2015-09-26,12,Yes
188,,Male,34,44000,Doctor,0,0,Divorce,4,2015-09-26,37,Yes
189,,Female,56,76000,Engineer,3,1,Willmaking,3,2015-09-27,18,Yes
190,,Female,28,95000,Artist,1,0,Divorce,5,2015-10-01,43,Yes
191,,Female,58,92000,Artist,3,2,Willmaking,4,2015-10-12,19,Yes
192,,Male,58,96000,Executive,4,4,Divorce,4,2015-10-13,39,Yes
27,,Female,28,184628,Artist,1,3,Divorce,5,2021-10-07,43,Yes
1703,,Male,59,92768,Doctor,4,0,Divorce,4,2020-06-28,44,Yes
195,,Female,44,8000,Artist,1,1,Custody,4,2015-10-23,7,Yes
196,,Female,42,46000,Executive,3,4,Custody,5,2015-11-13,10,Yes
197,,Female,41,78000,Artist,3,4,Willmaking,5,2015-11-14,16,Yes
198,,Male,52,4000,Artist,4,0,Custody,5,2015-11-15,21,Yes
199,,Male,39,81000,Executive,4,2,Custody,4,2015-11-16,43,Yes
1482,,Male,50,98463,Homemaker,3,3,Divorce,3,2018-04-16,38,Yes
201,,Female,46,40000,Healthcare,1,4,Custody,5,2015-11-20,6,Yes
202,,Male,53,85000,Healthcare,1,0,Divorce,4,2015-11-21,40,Yes
203,,Female,41,60000,Engineer,2,3,Custody,4,2015-11-24,53,Yes
19,,Male,22,84003,Artist,3,0,Childcare,3,2020-01-22,29,Yes
205,,Female,40,63000,Entertainment,2,4,Divorce,5,2015-11-27,40,Yes
206,,Female,56,10000,Healthcare,0,5,Willmaking,4,2015-12-01,10,Yes
759,,Female,52,168663,Engineer,0,1,Childcare,5,2018-08-21,27,Yes
208,,Female,67,39000,Engineer,2,2,Willmaking,5,2015-12-14,12,Yes
209,,Male,24,93000,Artist,2,4,Adoption,3,2015-12-14,33,Yes
210,,Female,22,15000,Doctor,0,1,Adoption,4,2015-12-14,16,Yes
211,,Female,31,57000,Engineer,1,2,Adoption,5,2015-12-23,47,Yes
212,,Female,74,22000,Artist,4,0,Willmaking,4,2015-12-24,6,Yes
213,,Male,35,12000,Marketing,2,1,Adoption,4,2015-12-29,31,Yes
733,,Female,56,156880,Artist,3,1,Childcare,4,2019-12-30,23,Yes
976,,Male,64,171677,Artist,0,5,Childcare,5,2019-12-02,41,Yes
216,,Female,39,66000,Healthcare,2,3,Adoption,5,2016-01-09,20,Yes
217,,Male,61,20000,Doctor,3,3,Willmaking,5,2016-01-12,20,Yes
1652,,Male,41,164675,Executive,4,0,Childcare,4,2020-04-22,40,Yes
219,,Female,50,71000,Executive,3,2,Custody,4,2016-01-23,27,Yes
220,,Female,47,76000,,3,1,Custody,4,2016-01-26,36,Yes
221,,Female,33,84000,Artist,0,0,Custody,5,2016-01-28,36,Yes
222,,Female,37,72000,Engineer,2,1,Custody,4,2016-01-31,32,Yes
223,,Male,27,33000,Artist,1,5,Divorce,4,2016-02-06,26,Yes
224,,Female,28,93000,Healthcare,4,4,Divorce,5,2016-02-08,35,Yes
225,,Female,42,23000,Engineer,0,4,Custody,5,2016-02-09,20,Yes
226,,Female,35,83000,Homemaker,3,2,Custody,5,2016-02-09,7,Yes
227,,Female,35,40000,Artist,0,0,Custody,4,2016-02-11,12,Yes
228,,Male,52,89000,Healthcare,1,1,Willmaking,5,2016-02-14,9,Yes
1915,,Female,47,128037,Entertainment,0,5,Childcare,5,2020-11-14,43,Yes
230,,Male,24,94000,Healthcare,3,5,Divorce,5,2016-02-17,9,Yes
231,,Female,37,93000,Lawyer,3,2,Willmaking,5,2016-02-18,11,Yes
603,,Male,53,19000,Doctor,1,3,Childcare,3,2014-02-24,30,Yes
233,,Female,50,18000,Lawyer,3,4,Willmaking,4,2016-02-21,10,Yes
234,,Female,29,3000,Healthcare,4,2,Divorce,5,2016-02-22,7,Yes
235,,Female,36,84000,Artist,0,5,Custody,5,2016-02-27,49,Yes
236,,Female,66,62000,Healthcare,1,6,Willmaking,4,2016-02-28,16,Yes
237,,Male,54,9000,Healthcare,1,1,Divorce,4,2016-03-06,15,Yes
238,,Male,48,36000,,4,3,Adoption,3,2016-03-11,36,Yes
239,,Male,57,37000,Lawyer,2,2,Divorce,4,2016-03-14,32,Yes
240,,Female,33,50000,Artist,4,6,Divorce,4,2016-03-17,41,Yes
241,,Male,27,83000,Executive,4,5,Divorce,4,2016-03-23,17,Yes
242,,Female,59,79000,Artist,4,4,Divorce,4,2016-03-29,44,Yes
243,,Female,29,40000,Healthcare,0,0,Divorce,4,2016-03-30,29,Yes
244,,Female,59,47000,Artist,2,4,Willmaking,5,2016-04-01,17,Yes
1103,,Male,25,114011,,2,4,Childcare,3,2020-05-12,38,Yes
246,,Female,52,38000,Entertainment,0,0,Willmaking,3,2016-04-04,12,Yes
247,,Male,56,0,Doctor,2,0,Willmaking,3,2016-04-05,17,Yes
248,,Female,42,41000,Artist,0,2,Custody,4,2016-04-06,12,Yes
249,,Female,36,7000,Artist,3,5,Custody,3,2016-04-06,33,Yes
250,,Female,46,65000,Engineer,3,5,Custody,5,2016-04-08,36,Yes
251,,Male,36,20000,Engineer,1,2,Divorce,4,2016-04-24,26,Yes
252,,Female,35,44000,Doctor,2,3,Divorce,5,2016-04-25,37,Yes
253,,Female,31,3000,Artist,4,2,Divorce,4,2016-04-28,9,Yes
254,,Female,54,72000,Lawyer,1,3,Custody,5,2016-04-28,18,Yes
255,,Female,40,27000,Engineer,3,5,Custody,5,2016-05-02,31,Yes
256,,Male,75,85000,Lawyer,3,0,Willmaking,5,2016-05-03,11,Yes
274,,Male,50,173743,Artist,1,2,Childcare,4,2017-01-10,43,Yes
204,,Female,51,63454,Artist,4,5,Childcare,3,2022-12-04,8,Yes
259,,Female,45,64000,Artist,0,0,Divorce,4,2016-05-08,54,Yes
260,,Male,28,26000,Executive,0,2,Divorce,5,2016-05-11,12,Yes
261,,Female,57,47000,Artist,4,1,Divorce,5,2016-05-17,23,Yes
262,,Female,54,35000,Doctor,2,2,Divorce,5,2016-05-21,54,Yes
263,,Female,56,31000,Lawyer,2,1,Adoption,4,2016-05-31,13,Yes
761,,Female,37,109895,Healthcare,2,0,Childcare,5,2018-09-15,37,Yes
1618,,Male,26,94576,Artist,4,5,Childcare,4,2019-09-11,45,Yes
266,,Male,49,82000,Entertainment,0,5,Custody,5,2016-06-09,37,Yes
267,,Female,55,28000,Artist,2,4,Adoption,5,2016-06-13,27,Yes
1448,,Male,64,186130,Lawyer,0,0,Childcare,3,2021-06-29,45,Yes
915,,Female,49,18000,Marketing,1,0,Childcare,3,2014-07-05,35,Yes
270,,Female,52,8000,Entertainment,4,4,Custody,5,2016-06-21,34,Yes
1620,,Female,52,91000,Lawyer,3,3,Childcare,3,2014-05-10,11,Yes
272,,Female,30,12000,Doctor,3,2,Custody,4,2016-06-27,45,Yes
273,,Female,41,1000,Entertainment,2,6,Divorce,5,2016-07-02,26,Yes
1452,,Male,43,94846,Engineer,1,0,Childcare,5,2018-06-01,45,Yes
275,,Female,46,18000,Artist,3,1,Divorce,4,2016-07-07,26,Yes
276,,Male,49,65000,Lawyer,4,0,Divorce,5,2016-07-13,38,Yes
277,,Male,55,9000,Executive,3,5,Custody,3,2016-07-17,26,Yes
278,,Male,30,95000,Artist,2,6,Adoption,5,2016-07-20,32,Yes
279,,Female,61,78000,Engineer,3,3,Willmaking,3,2016-07-21,17,Yes
1241,,Female,56,153842,Artist,3,6,Childcare,5,2022-07-05,26,Yes
281,,Female,50,63000,Executive,2,5,Willmaking,4,2016-07-26,19,Yes
282,,Female,22,85000,Marketing,2,4,Adoption,3,2016-08-01,39,Yes
283,,Female,40,43000,Artist,0,1,Willmaking,3,2016-08-02,19,Yes
284,,Female,25,74000,Artist,1,2,Custody,3,2016-08-03,25,Yes
285,,Female,33,67000,Healthcare,0,3,Divorce,5,2016-08-05,54,Yes
286,,Male,25,59000,Artist,4,5,Adoption,3,2016-08-08,49,Yes
287,,Female,29,140000,Entertainment,2,5,Adoption,4,2016-08-09,27,Yes
288,,Female,40,31000,Healthcare,1,3,Custody,3,2016-08-16,24,Yes
289,,Female,56,5000,Marketing,2,2,Willmaking,3,2016-08-21,17,Yes
290,,Female,49,19000,Engineer,1,1,Divorce,4,2016-08-23,33,Yes
291,,Male,54,27000,Entertainment,3,3,Willmaking,5,2016-08-27,17,Yes
292,,Female,43,68000,Doctor,0,6,Willmaking,4,2016-08-30,15,Yes
293,,Male,51,38000,Artist,0,2,Custody,4,2016-08-31,34,Yes
294,,Female,33,50000,Engineer,0,6,Divorce,5,2016-09-01,36,Yes
1909,,Female,46,132701,Healthcare,3,5,Childcare,4,2020-05-01,26,Yes
747,,Female,33,86172,Artist,0,4,Childcare,4,2021-04-08,50,Yes
297,,Female,39,31000,Engineer,1,6,Adoption,4,2016-09-06,40,Yes
1300,,Female,51,156488,Engineer,2,1,Childcare,4,2016-10-13,31,Yes
299,,Male,55,79000,Artist,2,6,Willmaking,5,2016-09-22,9,Yes
300,,Male,49,32000,Entertainment,1,0,Custody,4,2016-09-24,18,Yes
301,,Male,51,153787,Entertainment,3,1,Willmaking,5,2016-09-25,19,Yes
1647,,Male,37,138775,Executive,1,4,Childcare,5,2021-05-17,7,Yes
303,,Female,48,145015,Healthcare,1,0,Adoption,4,2016-10-03,23,Yes
304,,Female,31,148539,Healthcare,0,4,Adoption,5,2016-10-03,16,Yes
305,,Female,28,117319,Lawyer,4,6,Divorce,5,2016-10-06,24,Yes
306,,Female,54,180243,Marketing,0,1,Custody,4,2016-10-06,42,Yes
307,,Female,39,165052,Artist,2,5,Divorce,5,2016-10-07,8,Yes
308,,Female,45,120487,Doctor,4,4,Divorce,4,2016-10-08,42,Yes
309,,Male,30,112766,Engineer,0,0,Divorce,4,2016-10-13,24,Yes
115,,Female,25,170319,Artist,0,4,Childcare,3,2022-01-12,12,Yes
793,,Female,60,70302,Executive,4,4,Childcare,5,2019-05-11,36,Yes
312,,Female,73,77501,Engineer,2,3,Willmaking,4,2016-10-19,7,Yes
313,,Female,52,118302,Lawyer,0,2,Willmaking,3,2016-10-20,13,Yes
1626,,Female,53,67000,Doctor,1,3,Childcare,4,2014-09-26,53,Yes
315,,Male,51,93921,Lawyer,2,6,Custody,3,2016-10-27,51,Yes
62,,Male,41,103356,Marketing,2,5,Childcare,3,2019-07-15,31,Yes
1328,,Female,33,79968,Lawyer,3,3,Childcare,3,2018-05-07,28,Yes
318,,Male,73,183217,Artist,3,2,Willmaking,3,2016-11-08,11,Yes
1961,,Female,41,149095,Lawyer,4,4,Childcare,4,2019-08-17,15,Yes
320,,Female,57,68272,Healthcare,1,6,Divorce,5,2016-11-15,6,Yes
321,,Male,50,69841,Engineer,0,5,Adoption,5,2016-11-23,10,Yes
322,,Male,33,69078,Lawyer,4,4,Divorce,5,2016-11-24,26,Yes
323,,Female,67,110667,Healthcare,2,3,Willmaking,5,2016-11-24,20,Yes
1591,,Female,53,76000,Entertainment,3,5,Childcare,3,2014-10-27,17,Yes
325,,Female,74,102861,Artist,0,0,Willmaking,5,2016-12-02,17,Yes
326,,Male,36,133551,Artist,0,6,Custody,5,2016-12-07,16,Yes
354,,Female,51,125677,Entertainment,3,6,Childcare,5,2019-09-10,43,Yes
328,,Male,27,152755,Engineer,1,0,Adoption,4,2016-12-20,9,Yes
329,,Female,73,92313,Healthcare,4,3,Willmaking,3,2016-12-29,14,Yes
91,,Female,48,96028,Artist,4,0,Childcare,3,2021-09-03,23,Yes
331,,Female,64,98922,Artist,2,6,Divorce,5,2016-12-30,35,Yes
332,,Female,57,93713,Engineer,1,0,Divorce,5,2016-12-31,22,Yes
333,,Male,37,137641,Healthcare,2,2,Divorce,5,2017-01-01,31,Yes
68,,Female,47,163509,Healthcare,3,4,Childcare,5,2021-06-01,19,Yes
335,,Female,37,112246,Healthcare,0,2,Custody,4,2017-01-12,34,Yes
758,,Male,28,151902,Artist,2,1,Childcare,3,2022-08-03,46,Yes
337,,Female,52,69384,Healthcare,1,0,Willmaking,5,2017-01-15,6,Yes
338,,Female,62,76529,Healthcare,1,6,Divorce,5,2017-01-17,17,Yes
339,,Female,39,123804,Doctor,0,5,Divorce,5,2017-01-18,40,Yes
340,,Female,34,173185,Artist,0,6,Adoption,4,2017-01-23,8,Yes
341,,Female,46,68292,Artist,0,4,Custody,5,2017-01-23,34,Yes
342,,Male,46,142034,Entertainment,0,3,Custody,5,2017-01-25,13,Yes
343,,Male,27,107941,Artist,1,0,Divorce,5,2017-01-29,31,Yes
344,,Female,61,149840,Engineer,2,2,Willmaking,3,2017-02-07,20,Yes
640,,Female,40,106816,Artist,0,4,Childcare,5,2020-12-11,20,Yes
346,,Female,57,126599,Lawyer,2,3,Willmaking,5,2017-02-25,7,Yes
1146,,Male,65,63683,Healthcare,3,2,Childcare,3,2021-01-13,51,Yes
